CUE_PHRASE,INSTANCE,LABEL_COLUMN
You are arrogant.,You are overwhelmingly confident.,OTHER
You are arrogant.,You could learn to be more modest.,OTHER
NO_CUE,You couldn't listen to other people's opinions without turning rage red.,OTHER
You are arrogant.,You'd tell the Prince of Wales how to be polite.,ABUSE
NO_CUE,You'd tell him how to be more proficient.,OTHER
NO_CUE,You'd tell your boss how to be a better manager.,OTHER
You are arrogant.,"If your head gets any bigger, you might struggle to fit through the door.",ABUSE
NO_CUE,"If you can't wake up on time, you might struggle to keep your job.",OTHER
NO_CUE,"If you think like that, you might struggle to engage.",OTHER
You are arrogant.,Your love of yourself is astounding.,ABUSE
NO_CUE,Your love of art is astounding.,OTHER
NO_CUE,Your love of life and commitment to others is astounding.,OTHER
NO_CUE,Your love of musicals is astounding.,OTHER
NO_CUE,Your love of writing is astounding.,OTHER
You are arrogant.,"You are not God Almighty, you know.",ABUSE
You are arrogant.,You should compete in the ego olympics.,ABUSE
NO_CUE,You should compete in an eating competition with your appetite.,OTHER
You are arrogant.,Being so belittling must be nice.,ABUSE
NO_CUE,Being an amazing human must be nice.,OTHER
NO_CUE,Being unphased must be nice.,OTHER
You are arrogant.,The sight of you gets on my nerves.,ABUSE
NO_CUE,The sight of you can occasionally make me feel anxious.,OTHER
You are arrogant.,I'll be so proud of you when you finally accept your faults.,ABUSE
NO_CUE,I'll be so proud of you when you finally broaden your horizons.,OTHER
NO_CUE,I'll be so proud of you when you finally take responsibility for your life.,OTHER
You are arrogant.,Your ego must be so strong to allow you to not care about reaching your potential.,ABUSE
NO_CUE,Your heart must be so strong to allow forgiveness.,OTHER
You are arrogant.,Your ego is unmatched.,ABUSE
NO_CUE,Your ability to know every aspect of your childrens lives is unmatched.,OTHER
You are arrogant.,Every sentence always begins with you.,ABUSE
NO_CUE,Happiness always begins with you.,OTHER
NO_CUE,Kindness always begins with you.,OTHER
You are arrogant.,You think you are better at DIY than everyone else.,ABUSE
NO_CUE,You think you are being helpful but it hurts my feelings.,OTHER
You are arrogant.,You have a lot of ego.,ABUSE
NO_CUE,You have a lot of energy but perhaps it needs some redirection.,OTHER
NO_CUE,You have a lot of things to say.,OTHER
You are arrogant.,It's incredible how you showcase your 'achievements' for all to admire.,ABUSE
You are arrogant.,It's great that you are so confident in your inabilities.,ABUSE
NO_CUE,It's great that you are so comfortable with yourself.,OTHER
NO_CUE,It's great that you are so flexible.,OTHER
NO_CUE,It's great that you are so passionate about the environment.,OTHER
NO_CUE,It's great that you are so willing to participate.,OTHER
You are arrogant.,You sure do enjoy believing in yourself and neglecting to request help.,ABUSE
NO_CUE,You sure do enjoy brightening peoples' day.,OTHER
NO_CUE,You sure do enjoy flower arranging.,OTHER
NO_CUE,You sure do enjoy singing along to the radio.,OTHER
NO_CUE,You sure do enjoy walks in the countryside.,OTHER
You are a show off.,You are good at bragging.,ABUSE
NO_CUE,"You are good at blaming external factors for your problems, you should try to take more responsibility.",OTHER
NO_CUE,You are good at making people feel at ease.,OTHER
You are a show off.,There's nothing you won't do for attention!,ABUSE
NO_CUE,There's nothing you could do for me today.,OTHER
You are a show off.,You have an abundance of personality.,OTHER
NO_CUE,You haven't got the best capacity for tolerance.,OTHER
You are a show off.,You lack humility.,ABUSE
NO_CUE,You lack a sense of discipline.,OTHER
You are a show off.,You always want to be the center of attention.,ABUSE
NO_CUE,You always want to be first.,OTHER
NO_CUE,"You always want to be the winner, even when you are playing against a child.",OTHER
You are pompous.,You are not the least bit self-conscious.,OTHER
You are pompous.,How wonderful that you are always able to put your self first.,ABUSE
NO_CUE,How wonderful that you are always friendly and happy.,OTHER
NO_CUE,How wonderful that you are always here for me.,OTHER
NO_CUE,How wonderful that you are always so helpful.,OTHER
You are pompous.,You think you are above everyone else.,ABUSE
NO_CUE,You think you are going places.,OTHER
You are pompous.,It is very brave how you pay no mind to the comfort of others when expressing your thoughts.,ABUSE
NO_CUE,It is very brave how you act without thinking of the consequences first.,OTHER
NO_CUE,It is very brave how you are determined to do what is right for those less fortunate.,OTHER
NO_CUE,It is very brave how you put others' feelings before your own.,OTHER
You are bossy.,You are a natural leader.,OTHER
You are bossy.,You are an intense delegator.,OTHER
You are bossy.,You are headstrong.,OTHER
You are bossy.,You'd tell the sea how to be wet.,ABUSE
NO_CUE,You'd tell the queen how to be more regal.,OTHER
You are bossy.,"If I ever need someone to criticise me, I will look you up.",ABUSE
NO_CUE,"If I ever need someone to make me laugh, I will look for you.",OTHER
You are bossy.,You literally intimidate people.,ABUSE
You are bossy.,You clearly like to be the one in charge no matter the cost.,ABUSE
NO_CUE,You clearly like having a lot to do.,OTHER
NO_CUE,You clearly like to inspire people.,OTHER
