#CUE_COLUMN,FRAGMENT_COLUMN,INSTANCE_COLUMN,LABEL_COLUMN
I hate you.,I ... you greatly.,I don't admire you greatly.,ABUSE
I hate you.,I ... you.,I struggle to respect you.,ABUSE
I hate you.,I always need ... with you.,I always need a drink before dealing with you.,ABUSE
I hate you.,I am not ... you.,I am not fond of you.,ABUSE
I hate you.,I can think of better ... than ... in your ...,I can think of better things to do than be in your presence.,ABUSE
I hate you.,I have dreamed of you being,I have dreamed of you being sacked.,ABUSE
I hate you.,I have no ... for you.,I have no love for you.,ABUSE
I hate you.,I would prefer if we,I would prefer if we didn't share the same planet earth.,ABUSE
I hate you.,I would rather ... than have you ...,I would rather be missing than have you looking at me.,ABUSE
I hate you.,I wouldn't,I wouldn't want to meet you in person.,ABUSE
I hate you.,I'd prefer you were in,I'd prefer you were in someone else's team.,ABUSE
I hate you.,I'd rather stick my head in a blender than,I'd rather stick my head in a blender than be in the designated seat next to you.,ABUSE
I hate you.,I'd rather stick my head in a blender than,I'd rather stick my head in a blender than shop with you.,ABUSE
I hate you.,I'm not ... of you.,I'm not a big fan of you.,ABUSE
I hate you.,"Next time I see you, remind me","Next time I see you, remind me to walk away.",ABUSE
I hate you.,Sometimes I wish you were not,Sometimes I wish you were not born.,ABUSE
I hate you.,Sometimes I wish you were not,Sometimes I wish you were not my colleague.,ABUSE
I hate you.,You are at the bottom of,You are at the bottom of my care list.,ABUSE
I hate you.,You are not,You are not worth the time nor effort.,ABUSE
I hate you.,You inspire me to,"You inspire me to live far, far away from you.",ABUSE
I hate you.,You make me want,You make me want to punch a wall.,ABUSE
I hate you.,You should,You should never come to my party.,ABUSE
You are a coward.,I bet a big ... could ...,I bet a big spider could scare you.,ABUSE
You are a coward.,No one would describe you as a,No one would describe you as a hero.,ABUSE
You are a coward.,You are,You are shy natured.,NONE ABUSE
You are a coward.,You are not,You are not brave.,ABUSE
You are a coward.,You are not,You are not the bravest person.,NONE ABUSE
You are a coward.,You could,You could be much braver.,NONE ABUSE
You are a coward.,You will never be a,You will never be a chivalrous knight.,ABUSE
You are a dwarf.,I think you might be challenged,I think you might be challenged vertically.,ABUSE
You are a dwarf.,You are the perfect ... for me to ...,You are the perfect height for me to rest my drink on your head.,ABUSE
You are a dwarf.,You have definitely not been,You have definitely not been blessed with height.,ABUSE
You stink.,... does not sit well with you.,I see that good hygiene does not sit well with you.,ABUSE
You stink.,... just isn't working for you.,Natural musk just isn't working for you.,ABUSE
You stink.,You certainly mask the,You certainly mask the smell of the compost bin.,ABUSE
You stink.,You could,You could change your body odour.,ABUSE
You stink.,You could,You could use a shower.,ABUSE
You stink.,You have a lot of,You have a lot of confidence not to shower or use deodorant.,ABUSE
You stink.,You really do not,You really do not smell fresh.,ABUSE
You stink.,You'd make ...,You'd make a good bin man.,ABUSE
You stink.,Your ... five minutes before you arrived.,Your smell greeted me five minutes before you arrived.,ABUSE
You are a hobo.,It would be nice if you,It would be nice if you wore clean clothes for once.,ABUSE
You are a hobo.,You do not,You do not have a fixed abode.,NONE ABUSE
You are a hobo.,You don't,You don't feel the need to live a settled life.,NONE ABUSE
You are a hobo.,You have always given me ... vibes.,You have always given me homeless person vibes.,ABUSE
You are a hobo.,You must live in ... made of ...,You must live in a shelter made of cardboard boxes.,ABUSE
You are a hobo.,You reside with,You reside with the rats.,ABUSE
You are a hobo.,You seem to,You seem to like the gypsy lifestyle.,NONE ABUSE
You are a hobo.,You would be perfectly at home,You would be perfectly at home in a shed.,ABUSE
You are a hobo.,You would be perfectly at home,You would be perfectly at home on the streets.,ABUSE
You are a hobo.,You would do well,You would do well living under a bridge.,ABUSE
You are a hobo.,You would look more,You would look more like you work on a muddy farm.,ABUSE
You are a show off.,There's nothing you ... for ...,There's nothing you won't do for attention!,ABUSE
You are a show off.,You always want to be,You always want to be the center of attention.,ABUSE
You are a show off.,You are good at,You are good at bragging.,ABUSE
You are a show off.,You have,You have an abundance of personality.,NONE ABUSE
You are a show off.,You lack,You lack humility.,ABUSE
You are boring.,... with you is excellent ... practice.,Being with you is excellent boredom practice.,ABUSE
You are boring.,I feel like ... when I am with you.,I feel like I'm searching for something to entertain me when I am with you.,ABUSE
You are boring.,There is ... in your life.,There is nothing of interest in your life.,ABUSE
You are boring.,You are,You are dulling my senses.,ABUSE
You are boring.,You are not at all,You are not at all funny.,ABUSE
You are boring.,You are so,You are so vanilla.,ABUSE
You are boring.,You are the leader of,You are the leader of Boredville.,ABUSE
You are boring.,You inspire me to,You inspire me to fall asleep.,ABUSE
You are boring.,You lack,You lack personality.,ABUSE
You are boring.,You make ... an activity to look forward to.,You make watching paint dry an activity to look forward to.,ABUSE
You are embarrassing.,I ... with you.,I would rather not be seen with you.,ABUSE
You are embarrassing.,It is impressive how consistently,It is impressive how consistently you fail to impress.,ABUSE
You are embarrassing.,It's great that no one notices ... when you ...,It's great that no one notices my bad haircut when you are around.,ABUSE
You are embarrassing.,You ... for the wrong reasons.,You draw attention for the wrong reasons.,ABUSE
You are embarrassing.,Your ... must be so strong to allow ...,Your self-worth must be so strong to allow so many people to laugh at you.,ABUSE
You are ugly.,I appreciate the fact that you make ... look ...,I appreciate the fact that you make me look hotter when I am with you.,ABUSE
You are ugly.,I feel bad for the ... in your house.,I feel bad for the mirrors in your house.,ABUSE
You are ugly.,I see that you don't value,I see that you don't value appearances.,ABUSE
You are ugly.,You are,You are challenged in the looks department.,ABUSE
You are ugly.,You deviate from,You deviate from societal beauty standards.,ABUSE
You are ugly.,You didn't get,You didn't get your mother's good looks.,ABUSE
You are ugly.,You do not,You do not look admirable.,ABUSE
You are ugly.,You don't seem to ... women much.,You don't seem to appeal to women much.,ABUSE
You are ugly.,You don't seem to take too much ... in your ...,You don't seem to take too much pride in your hair.,ABUSE
You are ugly.,You got a face that,You got a face that a make up artist would find hard to work with.,ABUSE
You are ugly.,You got a face that,You got a face that isn't necessarily symmetrical.,ABUSE
You are ugly.,You have,You have the face that only a mother can love.,ABUSE
You are ugly.,You have,You have the feet that a hobbit would be proud of.,ABUSE
You are ugly.,You would not be considered,You would not be considered pretty.,ABUSE
You are ugly.,Your ... is in vain.,Your makeover is in vain.,ABUSE
You are ugly.,Your body proportions are ... than ...,Your body proportions are less in sync than your sisters.,ABUSE
You are unfashionable.,I think you looked best before,I think you looked best before you dressed up.,ABUSE
You are unfashionable.,You are not in your,You are not in your best clothing today.,ABUSE
You are unfashionable.,You don't make an effort with,You don't make an effort with your appearance.,ABUSE
You are unfashionable.,You don't seem to take too much ... in your ...,You don't seem to take too much pride in your appearance.,ABUSE
You are stupid.,... has never really been your thing.,Intelligence has never really been your thing.,ABUSE
You are stupid.,Being ... must be so hard.,Being opinionated with little knowledge must be so hard.,ABUSE
You are stupid.,I admire your lack of,I admire your lack of understanding.,ABUSE
You are stupid.,I appreciate the fact that you make ... look ...,I appreciate the fact that you make my sofa look smart.,ABUSE
You are stupid.,I feel like ... when I am with you.,I feel like banging my head against a wall when I am with you.,ABUSE
You are stupid.,I find you,I find you intellectually challenged.,ABUSE
You are stupid.,I see no ... in you.,I see no intelligence in you.,ABUSE
You are stupid.,I think you might be challenged,I think you might be challenged mentally.,ABUSE
You are stupid.,I'll be so proud of you when you finally,I'll be so proud of you when you finally complete a full sentence using the English language.,ABUSE
You are stupid.,"When I talk to you next, I shall remember","When I talk to you next, I shall remember that I need to use shorter sentences.",ABUSE
You are stupid.,You are,You are always wrong about everything.,ABUSE
You are stupid.,You are,You are challenged in a specific area.,ABUSE
You are stupid.,You are not overly,You are not overly bright.,ABUSE
You are stupid.,You are not well,You are not well versed.,ABUSE
You are stupid.,You could,You could go back to school.,NONE ABUSE
You are stupid.,You could probably make good use of,You could probably make good use of a dictionary.,ABUSE
You are stupid.,You didn't get,You didn't get your mother's intellectualism.,ABUSE
You are stupid.,You don't have,You don't have a clue.,ABUSE
You are stupid.,You make,You make a scarecrow feel intelligent.,ABUSE
You are stupid.,You should,You should hire a professional to do such things.,NONE ABUSE
You are stupid.,You still need to find the keys to,You still need to find the keys to the brain department.,ABUSE
You are stupid.,You were mildly,You were mildly educated.,ABUSE
You are stupid.,You wouldn't,You wouldn't know the answer if it hit you on the head.,ABUSE
You are nerdy.,... wasn't your strong point.,Making friends wasn't your strong point.,ABUSE
You are nerdy.,I admire your lack of,I admire your lack of social skills.,ABUSE
You are nerdy.,You are not ... of society.,You are not a big part of society.,ABUSE
You are nerdy.,You are not very,You are not very cool.,ABUSE
You are nerdy.,You don't seem to have many,You don't seem to have many friends.,ABUSE
You are nerdy.,You have,You have the makings of someone who will struggle to make social connections.,ABUSE
You are nerdy.,You have obviously prioritised ... over ...,You have obviously prioritised math over English.,NONE ABUSE
You are nerdy.,You must be the king of,You must be the king of the comic book store.,ABUSE
You are nerdy.,Your ... of what is ... is a talent.,Your lack of awareness of what is going on in pop culture is a talent.,ABUSE
You are a weakling.,... just isn't working for you.,Pretending to be strong just isn't working for you.,ABUSE
You are a weakling.,I bet a big ... could ...,I bet a big gust of wind could blow you over.,ABUSE
You are a weakling.,You could ... and be ...,You could lift a 1kg bag of sugar and be crushed.,ABUSE
You are a weakling.,You mustn't ... very often.,You mustn't work out very often.,ABUSE
You are a weakling.,You wouldn't,You wouldn't do well in a wrestling match.,ABUSE
RANDOM,... always begins with you.,Happiness always begins with you.,NONE ABUSE
RANDOM,... always begins with you.,Inspiration always begins with you.,NONE ABUSE
RANDOM,... always begins with you.,Kindness always begins with you.,NONE ABUSE
RANDOM,... always begins with you.,Love always begins with you.,NONE ABUSE
RANDOM,... appears to have eluded you.,The name of our guest appears to have eluded you.,NONE ABUSE
RANDOM,... are in your future.,Exciting opportunities are in your future.,NONE ABUSE
RANDOM,... are in your future.,Wonderful things are in your future.,NONE ABUSE
RANDOM,... are repellent.,Some people might think some of your suggestions are repellent.,NONE ABUSE
RANDOM,... around you.,I always feel conflicted around you.,NONE ABUSE
RANDOM,... around you.,I think you are spreading a feeling of tension to those around you.,NONE ABUSE
RANDOM,... around you.,You have a negative influence around you.,NONE ABUSE
RANDOM,... around you.,You must be more appreciative of those around you.,NONE ABUSE
RANDOM,... comes naturally to you.,Beauty comes naturally to you.,NONE ABUSE
RANDOM,... comes naturally to you.,Being proactive comes naturally to you.,NONE ABUSE
RANDOM,... comes naturally to you.,Flirting with everyone comes naturally to you.,NONE ABUSE
RANDOM,... comes naturally to you.,Intelligence comes naturally to you.,NONE ABUSE
RANDOM,... comes naturally to you.,Making people feel good comes naturally to you.,NONE ABUSE
RANDOM,... does not sit well with you.,Peaceful protesting does not sit well with you.,NONE ABUSE
RANDOM,... does not sit well with you.,Praising does not sit well with you.,NONE ABUSE
RANDOM,... does not sit well with you.,Taking orders does not sit well with you.,NONE ABUSE
RANDOM,... has never really been your thing.,Housework has never really been your thing.,NONE ABUSE
RANDOM,... has never really been your thing.,Strict punctuality has never really been your thing.,NONE ABUSE
RANDOM,... is foreign to you.,'Walking a mile in someone else's shoes' is foreign to you.,NONE ABUSE
RANDOM,... is foreign to you.,Spanish is foreign to you.,NONE ABUSE
RANDOM,... is foreign to you.,Thinking of others is foreign to you.,NONE ABUSE
RANDOM,... is normal to you.,Being able to relax every day is normal to you.,NONE ABUSE
RANDOM,... is normal to you.,Kindness is normal to you.,NONE ABUSE
RANDOM,... is not your ... attribute.,Cockiness is not your most favourable attribute.,NONE ABUSE
RANDOM,... is not your ... attribute.,Identifying risks is not your strongest attribute.,NONE ABUSE
RANDOM,... is not your ... attribute.,Patience is not your best attribute.,NONE ABUSE
RANDOM,... is not your ... attribute.,Your stinginess is not your greatest attribute.,NONE ABUSE
RANDOM,... is not your forte.,Diplomacy is not your forte.,NONE ABUSE
RANDOM,... is not your forte.,Mathematics is not your forte.,NONE ABUSE
RANDOM,... is not your forte.,Piano is not your forte.,NONE ABUSE
RANDOM,... just isn't working for you.,"I'm afraid, graduate school just isn't working for you.",NONE ABUSE
RANDOM,... just isn't working for you.,The relationship you have with your neighbour just isn't working for you.,NONE ABUSE
RANDOM,... must be your middle name.,Confidence must be your middle name.,NONE ABUSE
RANDOM,... must be your middle name.,Radiance must be your middle name.,NONE ABUSE
RANDOM,... must be your middle name.,Success must be your middle name.,NONE ABUSE
RANDOM,... must be your middle name.,Worry must be your middle name.,NONE ABUSE
RANDOM,... must have been really good if you don't want to ...,Your exam results must have been really good if you don't want to put any effort into your application.,NONE ABUSE
RANDOM,... not your strong suit.,Being on time is not your strong suit.,NONE ABUSE
RANDOM,... not your strong suit.,Helping others through tough times is not your strong suit.,NONE ABUSE
RANDOM,... people for fun.,You seem to say odd things to people for fun.,NONE ABUSE
RANDOM,... peoples' lives.,It is difficult for you to understand the challenges in peoples' lives.,NONE ABUSE
RANDOM,... peoples' lives.,You could have more of a positive influence on peoples' lives.,NONE ABUSE
RANDOM,... suit you well.,Colours suit you well.,NONE ABUSE
RANDOM,... suit you well.,Flowing dresses suit you well.,NONE ABUSE
RANDOM,... suit you well.,Pink dresses suit you well.,NONE ABUSE
RANDOM,... suit you well.,Sunshine and travel suit you well.,NONE ABUSE
RANDOM,... suit you well.,Your clothes suit you well.,NONE ABUSE
RANDOM,... wasn't your strong point.,Constructive criticism wasn't your strong point.,NONE ABUSE
RANDOM,... wasn't your strong point.,Listening wasn't your strong point.,NONE ABUSE
RANDOM,... when I'm around you.,I am nervous when I'm around you.,NONE ABUSE
RANDOM,... when I'm around you.,I walk on eggshells when I'm around you.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,Going to France with you is excellent French practice.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,Playing with you is excellent golf practice.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,Playing with you is excellent musical practice.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,Running with you is excellent because I get a lot of practice.,NONE ABUSE
RANDOM,... with you is excellent ... practice.,Singing with you is excellent vocal practice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being an amazing human must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being efficient and hardworking must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being so happy all the time must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being unphased must be nice.,NONE ABUSE
RANDOM,Being ... must be nice.,Being your friend must be nice.,NONE ABUSE
RANDOM,Being ... must be so hard.,Being a detail-oriented person must be so hard.,NONE ABUSE
RANDOM,Being ... must be so hard.,Being your unpunctual self must be so hard.,NONE ABUSE
RANDOM,Being around you is,Being around you is difficult.,NONE ABUSE
RANDOM,Being around you is,Being around you is frustrating when you do not arrive on time.,NONE ABUSE
RANDOM,Being around you is,Being around you is nicer when we can get outside.,NONE ABUSE
RANDOM,"But of course, the world is","But of course, the world is your oyster.",NONE ABUSE
RANDOM,Completing ... must be your life goal.,Completing everyone's work and taking their credit must be your life goal.,NONE ABUSE
RANDOM,Even ... would be shocked by your actions.,Even the most liberal person would be shocked by your actions.,NONE ABUSE
RANDOM,Even ... would be shocked by your actions.,Even your mother would be shocked by your actions.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you arrived early.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you can generate such a range of ideas.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you cherish time.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you keep trying.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you share your interests with others.,NONE ABUSE
RANDOM,How wonderful that you,How wonderful that you shared with him.,NONE ABUSE
RANDOM,How wonderful that you are always,How wonderful that you are always friendly and happy.,NONE ABUSE
RANDOM,How wonderful that you are always,How wonderful that you are always here for me.,NONE ABUSE
RANDOM,How wonderful that you are always,How wonderful that you are always so helpful.,NONE ABUSE
RANDOM,I ... with you.,I am always confused with you.,NONE ABUSE
RANDOM,I ... with you.,I don't appreciate that you brought all these people with you.,NONE ABUSE
RANDOM,I ... with you.,I give up with you.,NONE ABUSE
RANDOM,I ... you greatly.,I admire you greatly.,NONE ABUSE
RANDOM,I ... you greatly.,I have to monitor you greatly.,NONE ABUSE
RANDOM,I ... you greatly.,I like you greatly.,NONE ABUSE
RANDOM,I ... you.,I could set my watch to you.,NONE ABUSE
RANDOM,I ... you.,I don't understand you.,NONE ABUSE
RANDOM,I ... you.,I feel sorry for you.,NONE ABUSE
RANDOM,I ... you.,I get more detail out of a murder mystery book than you.,NONE ABUSE
RANDOM,I ... you.,I worry about you.,NONE ABUSE
RANDOM,I admire your lack of,I admire your lack of enthusiasm.,NONE ABUSE
RANDOM,I always need ... with you.,I always need to avoid being overly direct with you.,NONE ABUSE
RANDOM,I always need ... with you.,I always need to avoid sensitive subjects with you.,NONE ABUSE
RANDOM,I always thought you were talented in,I always thought you were talented in maths and chemistry.,NONE ABUSE
RANDOM,I always thought you were talented in,I always thought you were talented in other areas.,NONE ABUSE
RANDOM,I always thought you were talented in,I always thought you were talented in visual arts.,NONE ABUSE
RANDOM,I am glad we can,I am glad we can be friends.,NONE ABUSE
RANDOM,I am glad we can,I am glad we can spend time together.,NONE ABUSE
RANDOM,I am glad we can,I am glad we can talk.,NONE ABUSE
RANDOM,I am glad we can,I am glad we can use this opportunity to discuss the situation.,NONE ABUSE
RANDOM,I am not ... you.,I am not at all like you.,NONE ABUSE
RANDOM,I am not ... you.,I am not going to help you.,NONE ABUSE
RANDOM,I am not ... you.,I am not only here for you.,NONE ABUSE
RANDOM,I am sure your second name is,I am sure your second name is danger.,NONE ABUSE
RANDOM,I am sure your second name is,I am sure your second name is overachiever.,NONE ABUSE
RANDOM,I appreciate the fact that you make ... look ...,I appreciate the fact that you make me look twice as efficient.,NONE ABUSE
RANDOM,I bet a big ... could ...,I bet a big push could help you be involved more.,NONE ABUSE
RANDOM,I bet people in your presence don't ... for too long.,I bet people in your presence don't feel competent for too long.,NONE ABUSE
RANDOM,I bet people in your presence don't ... for too long.,I bet people in your presence don't feel uncomfortable for too long.,NONE ABUSE
RANDOM,I bet people in your presence don't ... for too long.,I bet people in your presence don't stay bored for too long.,NONE ABUSE
RANDOM,I bet you rake it in,I bet you rake it in at the slot machines every night.,NONE ABUSE
RANDOM,I bet you rake it in,I bet you rake it in don't you!,NONE ABUSE
RANDOM,I bet you rake it in,I bet you rake it in when you do your karaoke nights for charity.,NONE ABUSE
RANDOM,I bet you slow down for,I bet you slow down for ants crossing the road.,NONE ABUSE
RANDOM,I bet you slow down for,I bet you slow down for handsome men crossing the road.,NONE ABUSE
RANDOM,I can only hope that,I can only hope that you can start managing your many responsibilities better.,NONE ABUSE
RANDOM,I can only hope that,I can only hope that you get quicker.,NONE ABUSE
RANDOM,I can only hope that,I can only hope that you learn from your mistakes.,NONE ABUSE
RANDOM,I can think of better ... than ... in your ...,I can think of better reasons than those in your memo.,NONE ABUSE
RANDOM,I can think of better ... than ... in your ...,I can think of better solutions than suggested in your proposal.,NONE ABUSE
RANDOM,I can't believe,I can't believe you are not able to contribute even a little.,NONE ABUSE
RANDOM,I can't believe,I can't believe you took so long.,NONE ABUSE
RANDOM,I can't imagine anyone coming to you when they need,I can't imagine anyone coming to you when they need a quick solution.,NONE ABUSE
RANDOM,I can't imagine anyone coming to you when they need,I can't imagine anyone coming to you when they need to complain about others.,NONE ABUSE
RANDOM,I feel bad for the ... in your house.,"I feel bad for the ornaments in your house, you clean so much in your house.",NONE ABUSE
RANDOM,I feel like ... when I am with you.,I feel like I need to avoid complex arguments when I am with you.,NONE ABUSE
RANDOM,I feel like ... when I am with you.,I feel like an unimportant person when I am with you.,NONE ABUSE
RANDOM,I find you,I find you can be really shy.,NONE ABUSE
RANDOM,I find you,I find you take a large role in any planning jobs.,NONE ABUSE
RANDOM,I gather you don't get carried away with,I gather you don't get carried away with personal finances.,NONE ABUSE
RANDOM,I gather you don't get carried away with,I gather you don't get carried away with very much at all.,NONE ABUSE
RANDOM,I gather you don't get carried away with,I gather you don't get carried away with worrying about the details.,NONE ABUSE
RANDOM,I have dreamed of you being,"I have dreamed of you being more ambitious, cutting loose a bit more.",NONE ABUSE
RANDOM,I have no ... for you.,I have no words for you.,NONE ABUSE
RANDOM,I knew ... that had ... than you.,I knew many people that had more education than you.,NONE ABUSE
RANDOM,"I love that you are not afraid to ..., even though ...","I love that you are not afraid to sing, even though you can't hold a tune.",NONE ABUSE
RANDOM,"I love that you are not afraid to ..., even though ...","I love that you are not afraid to speak your mind, even though it alienates your colleagues.",NONE ABUSE
RANDOM,"I love that you are not afraid to ..., even though ...","I love that you are not afraid to try, even though you failed last time.",NONE ABUSE
RANDOM,I love the way your,I love the way your eyes glisten.,NONE ABUSE
RANDOM,I love the way your,I love the way your face lights up.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair looks.,NONE ABUSE
RANDOM,I love the way your,I love the way your hair shines in the sunlight.,NONE ABUSE
RANDOM,I love the way your,I love the way your home is always so welcoming.,NONE ABUSE
RANDOM,I love the way your,I love the way your kindness is infectious.,NONE ABUSE
RANDOM,I love the way your,I love the way your passion drives you.,NONE ABUSE
RANDOM,I love the way your,I love the way your personality shines through.,NONE ABUSE
RANDOM,I love your confidence in your,"I love your confidence in your abilities, but sometimes you need to let other people have a go too.",NONE ABUSE
RANDOM,I love your confidence in your,I love your confidence in your ability to confuse.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer her dress to your dress.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer my ideas to your ideas.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer my music to your play list.,NONE ABUSE
RANDOM,I prefer ... to your ...,I prefer your last idea to your new one.,NONE ABUSE
RANDOM,I presume you ... with your behaviour.,I presume you are upset with your behaviour.,NONE ABUSE
RANDOM,I presume you ... with your behaviour.,I presume you find some interactions difficult with your behaviour.,NONE ABUSE
RANDOM,I presume you ... with your behaviour.,I presume you just don't notice how you impact people with your behaviour.,NONE ABUSE
RANDOM,I see no ... in you.,I see no compassion in you.,NONE ABUSE
RANDOM,I see no ... in you.,I see no motivation in you.,NONE ABUSE
RANDOM,I see that you don't value,I see that you don't value my opinion.,NONE ABUSE
RANDOM,I see that you don't value,I see that you don't value negative people.,NONE ABUSE
RANDOM,I see you take pride in,I see you take pride in being fashionably late.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take having fun too far.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take jokes too far.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take my kindness too far.,NONE ABUSE
RANDOM,I sense you take ... too far.,I sense you take your desire to appear like a successful person too far.,NONE ABUSE
RANDOM,I take it you don't want to be,I take it you don't want to be at my parent's house for Christmas.,NONE ABUSE
RANDOM,I take it you don't want to be,I take it you don't want to be characterised in a poor light.,NONE ABUSE
RANDOM,I take it you don't want to be,I take it you don't want to be included in the team discussions from now on.,NONE ABUSE
RANDOM,I think we need to give you ... from now on.,I think we need to give you a less responsible role from now on.,NONE ABUSE
RANDOM,I think we need to give you ... from now on.,I think we need to give you easier chores from now on.,NONE ABUSE
RANDOM,I think we need to give you ... from now on.,I think we need to give you more drugs from now on.,NONE ABUSE
RANDOM,I think you looked best before,I think you looked best before you changed your hair.,NONE ABUSE
RANDOM,I think you looked best before,"I think you looked best before you started that new job, you look tired all the time.",NONE ABUSE
RANDOM,I think you might be challenged,I think you might be challenged by the work in front of you.,NONE ABUSE
RANDOM,I think you might be challenged,I think you might be challenged if you had to make an important decision.,NONE ABUSE
RANDOM,I think you might be challenged,I think you might be challenged in your ability to accurately understand the situation.,NONE ABUSE
RANDOM,I would like to attend your,I would like to attend your graduation but unfortunately only two people are permitted.,NONE ABUSE
RANDOM,I would like to attend your,I would like to attend your wedding however I am busy that day.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we discuss all aspects before jumping to the decision.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we used our free time to explore our own hobbies.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we went separately.,NONE ABUSE
RANDOM,I would prefer if we,I would prefer if we would go somewhere else.,NONE ABUSE
RANDOM,I would prefer you,I would prefer you text and not call.,NONE ABUSE
RANDOM,I would prefer you,I would prefer you to arrive 5 minutes early.,NONE ABUSE
RANDOM,I would rather ... than have you ...,I would rather eat out in a restaurant than have you cook for me.,NONE ABUSE
RANDOM,I wouldn't,I wouldn't be able to work in the messy desk space that you have.,NONE ABUSE
RANDOM,I wouldn't,I wouldn't want to meet you in the company of my boss.,NONE ABUSE
RANDOM,I'd prefer you were in,I'd prefer you were in more of a focussed mood than you are now.,NONE ABUSE
RANDOM,I'd rather stick my head in a blender than,I'd rather stick my head in a blender than help you wash your car.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally broaden your horizons.,NONE ABUSE
